"name","price","qty","sku","condition","meta_description","meta_keyword","meta_title","weight","attribute_set"
"Original Samsung I5800 Galaxy 3 Android Smart Cell Mobile Phone Unlocked","115.0000","29.0000","osst-20121009082548","Refurbished","Original Samsung I5800 Galaxy 3 Android Smart Cell Mobile Phone Unlocked","Original Samsung I5800 Galaxy 3 Android Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Samsung I5800 Galaxy 3 Android Smart Cell Mobile Phone Unlocked","135.0000","29.0000","osst-20121009082951","New & Unused","New Original Samsung I5800 Galaxy 3 Android Smart Cell Mobile Phone Unlocked","New Original Samsung I5800 Galaxy 3 Android Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Samsung I7500 Galaxy Android Smart Cell Mobile Phone Unlocked","125.0000","29.0000","osst-20121009083219","","","Original Samsung I7500 Galaxy Android Smart Cell Mobile Phone Unlocked","","1.0000","Mobile Phone"
"New Original Samsung I7500 Galaxy Android Smart Cell Mobile Phone Unlocked","155.0000","29.0000","osst-20121009084410","New & Unused","New Original Samsung I7500 Galaxy Android Smart Cell Mobile Phone Unlocked","New Original Samsung I7500 Galaxy Android Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Samsung I8000 Omnia II Windows Smart Cell Mobile Phone Unlocked","165.0000","29.0000","osst-20121009085034","Refurbished","Original Samsung I8000 Omnia II Windows Smart Cell Mobile Phone Unlocked","Original Samsung I8000 Omnia II Windows Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Samsung I8000 Omnia II Windows Smart Cell Mobile Phone Unlocked","195.0000","29.0000","osst-20121009085942","New & Unused","New Original Samsung I8000 Omnia II Windows Smart Cell Mobile Phone Unlocked","New Original Samsung I8000 Omnia II Windows Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Samsung i900 Omnia Windows Smart Cell Mobile Phone Unlocked","115.0000","29.0000","osst-20121009090855","Refurbished","Original Samsung i900 Omnia Windows Smart Cell Mobile Phone Unlocked","Original Samsung i900 Omnia Windows Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Samsung i900 Omnia Windows Smart Cell Mobile Phone Unlocked","155.0000","29.0000","osst-20121009091610","New & Unused","New Original Samsung i900 Omnia Windows Smart Cell Mobile Phone Unlocked","New Original Samsung i900 Omnia Windows Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Samsung Omnia M S7530 Microsoft Windows 7.5 Mango Smart Cell Mobile Phone Unlocked","350.0000","29.0000","osst-20121010022504","New & Unused","New Original Samsung Omnia M S7530 Microsoft Windows 7.5 Mango Smart Cell Mobile Phone Unlocked","New Original Samsung Omnia M S7530 Microsoft Windows 7.5 Mango Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Samsung Omnia M S7530 Microsoft Windows 7.5 Mango Smart Cell Mobile Phone Unlocked","298.0000","29.0000","osst-20121010024256","Refurbished","Original Samsung Omnia M S7530 Microsoft Windows 7.5 Mango Smart Cell Mobile Phone Unlocked","Original Samsung Omnia M S7530 Microsoft Windows 7.5 Mango Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Samsung B7610 OmniaPRO Windows Smart Cell Mobile Phone Unlocked","135.0000","0.0000","osst-20121010024738","New & Unused","New Original Samsung B7610 OmniaPRO Windows Smart Cell Mobile Phone Unlocked","New Original Samsung B7610 OmniaPRO Windows Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Samsung B7610 OmniaPRO Windows Smart Cell Mobile Phone Unlocked","95.0000","0.0000","osst-20121010060215","Refurbished","Original Samsung B7610 OmniaPRO Windows Smart Cell Mobile Phone Unlocked","Original Samsung B7610 OmniaPRO Windows Smart Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"New Original Samsung i8910 Omnia HD Symbian Smart Cell Mobile Phone Unlocked","195.0000","29.0000","osst-20121010060611","","","New Original Samsung i8910 Omnia HD Symbian Smart Cell Mobile Phone Unlocked","","1.0000","Mobile Phone"
"Original Samsung i8910 Omnia HD Symbian Smart Cell Mobile Phone Unlocked","165.0000","29.0000","osst-20121010062357","Refurbished","Original Samsung i8910 Omnia HD Symbian Smart Cell Mobile Phone Unlocked","Original Samsung i8910 Omnia HD Symbian Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"New Original Samsung B3410 CorbyPlus Cell Mobile Phone Unlocked","135.0000","29.0000","osst-20121010065407","New & Unused","New Original Samsung B3410 CorbyPlus Cell Mobile Phone Unlocked","New Original Samsung B3410 CorbyPlus Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
"Original Samsung B3410 CorbyPlus Cell Mobile Phone Unlocked","95.0000","29.0000","osst-20121010070427","Refurbished","Original Samsung B3410 CorbyPlus Cell Mobile Phone Unlocked","Original Samsung B3410 CorbyPlus Cell Mobile Phone Unlocked","","599.0000","Mobile Phone"
"Original Nokia Lumia 710 Windows Phone 7.5 Mango OS Smart Cell Mobile Phone Unlocked","215.0000","29.0000","osst-20121016064921","Refurbished","Original Nokia Lumia 710 Windows Phone 7.5 Mango OS Smart Cell Mobile Phone Unlocked","Original Nokia Lumia 710 Windows Phone 7.5 Mango OS Smart Cell Mobile Phone Unlocked","","799.0000","Mobile Phone"
