"name","sku","price","meta_description","meta_keyword","meta_title","qty"
"New A+ intel SSD 330 2.5&quot; 60GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT060A3K5 6Gb/s 25nm MLC","osst-20130624081174","112.0000","New A+ intel SSD 330 2.5&quot; 60GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT060A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 60GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT060A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 60GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT060A3K5 6Gb/s, 25nm, MLC","99.0000"
"New A+ intel SSD 330 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT120A3K5 6Gb/s 25nm MLC","osst-20130624081175","195.0000","New A+ intel SSD 330 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT120A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT120A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT120A3K5 6Gb/s, 25nm, MLC","99.0000"
"New A+ intel SSD 330 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A3K5 6Gb/s 25nm MLC","osst-20130624081176","215.0000","New A+ intel SSD 330 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A3K5 6Gb/s, 25nm, MLC","99.0000"
"New A+ intel SSD 330 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A3K5 6Gb/s 25nm MLC","osst-20130624081177","270.0000","New A+ intel SSD 330 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A3K5 6Gb/s, 25nm, MLC","New A+ intel SSD 330 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A3K5 6Gb/s, 25nm, MLC","99.0000"
"New A+ intel SSD 335 2.5&quot; 80GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT080A4K5 6Gb/s 20nm MLC","osst-20130624081178","140.0000","New A+ intel SSD 335 2.5&quot; 80GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT080A4K5 6Gb/s, 20nm, MLC","New A+ intel SSD 335 2.5&quot; 80GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT080A4K5 6Gb/s, 20nm, MLC","New A+ intel SSD 335 2.5&quot; 80GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT080A4K5 6Gb/s, 20nm, MLC","99.0000"
"New A+ intel SSD 335 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A4K5 6Gb/s 20nm MLC","osst-20130624081179","215.0000","New A+ intel SSD 335 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A4K5 6Gb/s, 20nm, MLC","New A+ intel SSD 335 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A4K5 6Gb/s, 20nm, MLC","New A+ intel SSD 335 2.5&quot; 180GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT180A4K5 6Gb/s, 20nm, MLC","99.0000"
"New A+ intel SSD 335 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A4K5 6Gb/s 20nm MLC","osst-20130624081180","270.0000","New A+ intel SSD 335 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A4K5 6Gb/s, 20nm, MLC","New A+ intel SSD 335 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A4K5 6Gb/s, 20nm, MLC","New A+ intel SSD 335 2.5&quot; 240GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2CT240A4K5 6Gb/s, 20nm, MLC","99.0000"
"New A+ intel SSD 510 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH120A2K5 6Gb/s 34nm MLC","osst-20130624081181","340.0000","New A+ intel SSD 510 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH120A2K5 6Gb/s, 34nm, MLC","New A+ intel SSD 510 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH120A2K5 6Gb/s, 34nm, MLC","New A+ intel SSD 510 2.5&quot; 120GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH120A2K5 6Gb/s, 34nm, MLC","99.0000"
"New A+ intel SSD 510 2.5&quot; 250GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH250A2K5 6Gb/s 34nm MLC","osst-20130624081182","680.0000","New A+ intel SSD 510 2.5&quot; 250GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH250A2K5 6Gb/s, 34nm, MLC","New A+ intel SSD 510 2.5&quot; 250GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH250A2K5 6Gb/s, 34nm, MLC","New A+ intel SSD 510 2.5&quot; 250GB 9.5mm HDD SATA Laptop NoteBook Hard Disk Drive SSDSC2MH250A2K5 6Gb/s, 34nm, MLC","99.0000"
"New A+ intel SSD 520 2.5&quot; 60GB 9.5mm HDD SATA Hard Disk Drive SSDSC2CW060A301 SSDSC2CW060A310 SSDSC2CW060A30B5 SSDSC2CW060A3K5","osst-20130624081183","112.0000","New A+ intel SSD 520 2.5&quot; 60GB 9.5mm HDD SATA Hard Disk Drive SSDSC2CW060A301 SSDSC2CW060A310 SSDSC2CW060A30B5 SSDSC2CW060A3K5","New A+ intel SSD 520 2.5&quot; 60GB 9.5mm HDD SATA Hard Disk Drive SSDSC2CW060A301 SSDSC2CW060A310 SSDSC2CW060A30B5 SSDSC2CW060A3K5","New A+ intel SSD 520 2.5&quot; 60GB 9.5mm HDD SATA Hard Disk Drive SSDSC2CW060A301 SSDSC2CW060A310 SSDSC2CW060A30B5 SSDSC2CW060A3K5","99.0000"
"New A+ intel SSD 520 2.5&quot; 120GB 7mm HDD SATA Laptop Notebook Hard Disk Drive SSDSC2BW120A301 6Gb/s 25nm MLC","osst-20130624081185","215.0000","New A+ intel SSD 520 2.5&quot; 120GB 7mm HDD SATA Laptop Notebook Hard Disk Drive SSDSC2BW120A301 6Gb/s, 25nm, MLC","New A+ intel SSD 520 2.5&quot; 120GB 7mm HDD SATA Laptop Notebook Hard Disk Drive SSDSC2BW120A301 6Gb/s, 25nm, MLC","New A+ intel SSD 520 2.5&quot; 120GB 7mm HDD SATA Laptop Notebook Hard Disk Drive SSDSC2BW120A301 6Gb/s, 25nm, MLC","99.0000"
