"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","osst-20120505040938","35.0000","30.0000","51.0000","AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","AMD Sempron X2 2100"
"New AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","osst-20120505041603","48.0000","30.0000","51.0000","New AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","New AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","New AMD Sempron X2 2100 DeskTop CPU Socket AM3 940 SDO2100IAA4DO SDO2100IAA4DD 1.8G","AMD Sempron X2 2100"
"New AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","osst-20120505042019","58.0000","30.0000","51.0000","New AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","New AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","New AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","AMD Sempron X2 2200"
"AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","osst-20120505042200","38.0000","30.0000","51.0000","AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","AMD Sempron X2 2200 DeskTop CPU Processor Socket AM3 940 SDO2200IAA4DO 2Ghz ","AMD Sempron X2 2200"
"New  AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","osst-20120505042439","65.0000","30.0000","99.0000","New  AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","New  AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","New  AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","AMD Sempron X2 2300"
"AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","osst-20120505042658","45.0000","30.0000","51.0000","AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","AMD Sempron X2 2300 DeskTop CPU Socket AM3 940 SDO2300IAA4DO SDO2300DOBOX 2.2Ghz","AMD Sempron X2 2300"
"AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","osst-20120505061142","95.0000","30.0000","99.0000","AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","AMD  FX-4100"
"New AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 3.6Ghz 8MB","osst-20120505061607","112.0000","30.0000","299.0000","New AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","New AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","New AMD FX-Series FX-4100 FX4100 DeskTop CPU Socket AM3 938 FD4100WMGKGU FD4100WMGUSBX 8MB","FX-4100"
"New AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","osst-20120505061758","155.0000","30.0000","299.0000","New AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","New AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","New AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","AMD  FX-4170"
"AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","osst-20120505061951","140.0000","30.0000","299.0000","AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","AMD FX-Series FX-4170 FX4170 DeskTop CPU Socket AM3 938 FD4170FRW4KGU FD4170FRGUBOX","AMD  FX-4170"
