"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Elpida DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054318","512MB","","Blank"
"Elpida DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054325","512MB","","Blank"
"Elpida DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054326","512MB","","Blank"
"Elpida DDR1 1GB 1024MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054328","1GB","","Blank"
"Elpida DDR1 1GB 1024MB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin","osst-20101229054330","1GB","","Blank"
"Elpida DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054341","512MB","","Blank"
"Elpida DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054342","512MB","","Blank"
"Elpida DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054343","1GB","","Blank"
"Elpida DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20101229054344","1GB","","Blank"
"Elpida DDR2 1GB 1024MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054345","1GB","","Blank"
"Elpida DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20101229054347","2GB","","Blank"
"Elpida DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054353","1GB","","Blank"
"Elpida DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054378","1GB","","Blank"
"Elpida DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054379","1GB","","Blank"
"Elpida DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20101229054380","2GB","","Blank"
"Elpida DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20101229054381","2GB","","Blank"
"Elpida DDR3 4GB 4096MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054382","4GB","","Blank"
"Elpida DDR3 4GB 4096MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20101229054383","4GB","","Blank"
"Elpida DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054384","1GB","","Blank"
"Elpida DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054385","1GB","","Blank"
"Elpida DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054386","2GB","","Blank"
"Elpida DDR3 2GB 2048MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054387","2GB","","Blank"
"Elpida DDR3 4GB 4096MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20101229054388","4GB","","Blank"
