"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Elpida DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506043721","512MB","","Blank"
"Samsung DDR2 2GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506080357","2GB","","Blank"
"Samsung DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506082035","4GB","","Blank"
"Samsung DDR2 4GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506082315","4GB","","Blank"
"Samsung DDR2 2GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506084201","2GB","","Blank"
"Samsung DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110506084644","4GB","","Blank"
"Samsung DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506085119","512MB","","Blank"
"Samsung DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin","osst-20110507022414","512MB","","Blank"
"Samsung DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin","osst-20110507024535","512MB","","Blank"
"Samsung DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507024907","1GB","","Blank"
"Micron DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507031204","256MB","","Blank"
"Micron DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507031999","256MB","","Blank"
"Micron DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507033704","512MB","","Blank"
"Micron DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507034019","512MB","","Blank"
"Micron DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507041228","1GB","","Blank"
"Micron DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507042403","1GB","","Blank"
"Micron DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507042615","1GB","","Blank"
"Micron DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20110507043317","512MB","","Blank"
"Micron DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20110507044128","512MB","","Blank"
"Micron DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507044431","1GB","","Blank"
"Micron DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507044722","1GB","","Blank"
"Micron DDR2 1GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507045137","1GB","","Blank"
"Micron DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507045723","2GB","","Blank"
"Micron DDR2 2GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507050214","2GB","","Blank"
"Micron DDR2 2GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110507050428","2GB","","Blank"
"Micron DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509015910","4GB","","Blank"
"Micron DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509020436","4GB","","Blank"
"Micron DDR2 4GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509020907","4GB","","Blank"
"Micron DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110509021544","256MB","","Blank"
"Micron DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110509022121","256MB","","Blank"
"Micron DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110509022406","512MB","","Blank"
"Micron DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110509022813","512MB","","Blank"
"Micron DDR1 1GB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110509023111","1GB","","Blank"
"Micron DDR1 1GB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110509023456","1GB","","Blank"
"Micron DDR1 1GB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin","osst-20110509023705","1GB","","Blank"
"Micron DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509023903","512MB","","Blank"
"Micron DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509024524","512MB","","Blank"
"Micron DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509024755","1GB","","Blank"
"Micron DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509025235","1GB","","Blank"
"Micron DDR2 1GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509025548","1GB","","Blank"
"Micron DDR2 2GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509025748","2GB","","Blank"
"Micron DDR2 2GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509030042","2GB","","Blank"
"Micron DDR2 2GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509030226","2GB","","Blank"
"Micron DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509030427","4GB","","Blank"
"Micron DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509030754","4GB","","Blank"
"Micron DDR2 4GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509030948","4GB","","Blank"
"Nanya DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509065736","256MB","","Nanya"
"Nanya DDR1 1GB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509072729","1GB","","Nanya"
"Nanya DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509073059","1GB","","Nanya"
"Nanya DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509082400","2GB","","Nanya"
"Nanya DDR2 4GB 4096MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509083250","4GB","","Nanya"
"Nanya DDR2 4GB 4096MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110509083459","4GB","","Nanya"
"Nanya DDR2 2GB 2048MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509084824","2GB","","Nanya"
"Nanya DDR2 4GB 4096MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509085200","4GB","","Nanya"
"Nanya DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509085406","512MB","","Nanya"
"Nanya DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110509085732","512MB","","Nanya"
"Elixir DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510021914","512MB","PC-2100 / 266Mhz","Blank"
"Elixir DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510022124","512MB","","Blank"
"Elixir DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510022915","1GB","","Blank"
"Elixir DDR1 1GB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510070554","1GB","PC-2100 / 266Mhz","Blank"
"Elixir DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510070909","256MB","PC-2100 / 266Mhz","Blank"
"Elixir DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510071139","256MB","","Blank"
"Elixir DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510071305","512MB","PC-2100 / 266Mhz","Blank"
"Elixir DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510071437","512MB","","Blank"
"Elixir DDR1 1GB 1024MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510071755","1GB","PC-2100 / 266Mhz","Blank"
"Elixir DDR1 1GB 1024MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510072006","1GB","","Blank"
"Elixir DDR1 1GB 1024MB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin","osst-20110510072128","1GB","","Blank"
"Elixir DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510072335","512MB","","Blank"
"Elixir DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510072826","512MB","","Blank"
"Elixir DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510075940","1GB","","Blank"
"Elixir DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510080344","1GB","","Blank"
"Elixir DDR2 1GB 1024MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510080536","1GB","","Blank"
"Elixir DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510080718","2GB","","Blank"
"Elixir DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510080932","2GB","","Blank"
"Elixir DDR2 4GB 4096MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510081117","4GB","","Blank"
"Elixir DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510083955","1GB","","Blank"
"Elixir DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510084144","2GB","","Blank"
"Elixir DDR2 4GB 4096MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510084509","4GB","","Blank"
"Elixir DDR2 4GB 4096MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110510084701","4GB","","Blank"
"Elixir DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110510085119","512MB","","Blank"
"Elixir DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110510085243","512MB","","Blank"
"Elixir DDR2 2GB 2048MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110510085415","2GB","","Blank"
"Elixir DDR2 4GB 4096MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110510085540","4GB","","Blank"
"Elixir DDR2 2GB 2048MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511022702","2GB","","Blank"
"Elixir DDR2 2GB 2048MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511022945","2GB","","Blank"
"Nanya DDR2 2GB 2048MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511023507","2GB","","Nanya"
"Nanya DDR2 2GB 2048MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511023659","2GB","","Nanya"
"Elixir DDR2 4GB 4096MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511024600","4GB","","Blank"
"Elixir DDR2 4GB 4096MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511025406","4GB","","Blank"
"Elixir DDR2 1GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511033946","1GB","","Blank"
"Elixir DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511034247","1GB","","Blank"
"Elixir DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511034619","1GB","","Blank"
"Nanya DDR2 1GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511035131","1GB","","Nanya"
"Nanya DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511035320","1GB","","Nanya"
"Nanya DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511035503","1GB","","Nanya"
"Infineon DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511065719","256MB","","Blank"
"Qimonda DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511071342","256MB","","Blank"
"Infineon DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511072329","256MB","PC-2700 / 333Mhz","Blank"
"Qimonda DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511072615","256MB","","Blank"
"Infineon DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511072842","512MB","","Blank"
"Qimonda DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511073108","512MB","","Blank"
"Infineon DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511073314","512MB","PC-2700 / 333Mhz","Blank"
"Qimonda DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511073524","512MB","","Blank"
"Infineon DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511073718","1GB","","Blank"
"Qimonda DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511073947","1GB","","Blank"
"Infineon DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511074140","1GB","PC-2700 / 333Mhz","Blank"
"Qimonda DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511074401","1GB","","Blank"
"Infineon DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511074623","1GB","PC-3200 / 400Mhz","Blank"
"Qimonda DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511074846","1GB","","Blank"
"Infineon DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20110511075140","512MB","","Blank"
"Qimonda DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20110511075528","512MB","","Blank"
"Qimonda DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20110511075749","512MB","","Blank"
"Infineon DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook ","osst-20110511075933","512MB","","Blank"
"Infineon DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511080212","1GB","","Blank"
"Qimonda DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511080426","1GB","","Blank"
"Infineon DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511080625","2GB","","Blank"
"Qimonda DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511080832","2GB","","Blank"
"Infineon DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511081133","4GB","","Blank"
"Qimonda DDR2 4GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511081358","4GB","","Blank"
"Qimonda DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511081713","256MB","","Blank"
"Qimonda DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511081953","256MB","","Blank"
"Qimonda DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110511082220","512MB","","Blank"
"Infineon DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511082810","1GB","","Blank"
"Infineon DDR2 1GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511083015","1GB","","Blank"
"Qimonda DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511083740","2GB","","Blank"
"Infineon DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511083834","2GB","","Blank"
"Infineon DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511084057","2GB","","Blank"
"Qimonda DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511084631","2GB","","Blank"
"Qimonda DDR2 1GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511093440","1GB","","Blank"
"Qimonda DDR2 1GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511093631","1GB","","Blank"
"Infineon DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511093832","4GB","","Blank"
"Infineon DDR2 4GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511094006","4GB","","Blank"
"Qimonda DDR2 4GB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511094203","4GB","","Blank"
"Qimonda DDR2 4GB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110511094349","4GB","","Blank"
"Qimonda DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110511094731","512MB","","Blank"
"Infineon DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511094923","256MB","","Blank"
"Infineon DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511095244","256MB","PC-2700 / 333Mhz","Blank"
"Infineon DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110511095452","512MB","PC-2700 / 333Mhz","Blank"
"Infineon DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110511095617","512MB","","Blank"
"Infineon DDR1 1GB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511100048","1GB","","Blank"
"Infineon DDR1 1GB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511100355","1GB","PC-2700 / 333Mhz","Blank"
"Infineon DDR1 1GB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511100522","1GB","PC-3200 / 400Mhz","Blank"
"Qimonda DDR1 1GB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511100700","1GB","","Blank"
"Qimonda DDR1 1GB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511100907","1GB","","Blank"
"Qimonda DDR1 1GB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ","osst-20110511101014","1GB","","Blank"
"Qimonda DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511101609","512MB","","Blank"
"Qimonda DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511101917","512MB","","Blank"
"Qimonda DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511102131","1GB","","Blank"
"Qimonda DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511102343","1GB","","Blank"
"Qimonda DDR2 1GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110511102607","1GB","","Blank"
"Infineon DDR2 512MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512020939","512MB","","Blank"
"Infineon DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512021212","512MB","","Blank"
"Infineon DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512021421","1GB","","Blank"
"Infineon DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512021601","1GB","","Blank"
"Infineon DDR2 1GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512021918","1GB","","Blank"
"Qimonda DDR2 2GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512023218","2GB","","Blank"
"Qimonda DDR2 2GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512023410","2GB","","Blank"
"Qimonda DDR2 2GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512024009","2GB","","Blank"
"Qimonda DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512024738","4GB","","Blank"
"Qimonda DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512025029","4GB","","Blank"
"Qimonda DDR2 4GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512030236","4GB","","Blank"
"Infineon DDR2 2GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512030511","2GB","","Blank"
"Infineon DDR2 2GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512030648","2GB","","Blank"
"Infineon DDR2 2GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512030808","2GB","","Blank"
"Infineon DDR2 4GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512030949","4GB","","Blank"
"Infineon DDR2 4GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512031110","4GB","","Blank"
"Infineon DDR2 4GB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110512031238","4GB","","Blank"
"Hynix DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110513065435","1GB","","Blank"
"Hynix DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110513073443","2GB","","Blank"
"Nanya DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110517015405","1GB","","Nanya"
"Nanya DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110517015742","1GB","","Nanya"
"elixir DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110517021217","1GB","","Blank"
"elixir DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110517021417","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110517021650","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110517022033","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110517022712","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110517022919","1GB","","Blank"
"Qimonda DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110518024554","2GB","","Blank"
"Qimonda DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110518024833","2GB","","Blank"
"Qimonda DDR3 2GB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518025053","2GB","","Blank"
"Qimonda DDR3 2GB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518025331","2GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518025930","1GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518034501","1GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518063717","2GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518064509","2GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518070409","4GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518071036","4GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518072400","1GB","","Blank"
"Samsung DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518073335","1GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518075336","2GB","","Blank"
"Samsung DDR3 2GB 2048MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518080108","2GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518080410","4GB","","Blank"
"Samsung DDR3 4GB 4096MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518080643","4GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518083135","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518083605","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518084216","1GB","","Blank"
"Qimonda DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518084511","1GB","","Blank"
"Qimonda DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518094242","2GB","","Blank"
"Qimonda DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110518094648","2GB","","Blank"
"Qimonda DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110518095521","2GB","","Blank"
