"name","sku","price","qty","weight","meta_description","meta_keyword","meta_title","model_number"
"Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","osst-20110402084427","35.0000","50.0000","51.0000","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","Intel Celeron M T3500 SLGJV Mobile CPU Processor Socket P 2.1GHz 1MB 800MHz ","Mobile Intel  Celeron  Processors T3500 "
"OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","osst-20120320015310","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","osst-20120320020641","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","osst-20120320030648","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor","osst-20120320031133","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor","osst-20120320031915","7.8000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor","OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor","osst-20120320033300","9.5000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor","OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor","OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor","osst-20120320033706","22.0000","50.0000","51.0000","OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor","OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor","OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor","Intel Celeron-M"
"OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","osst-20120320034140","25.0000","50.0000","51.0000","OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","Intel Celeron-M"
"OEM Intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","osst-20120320040230","12.5000","50.0000","51.0000","OEM Intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","OEM Intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","OEM Intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","Intel Celeron"
"intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","osst-20120320040448","7.5000","50.0000","51.0000","intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","intel Celeron M 310 SL79S Mobile CPU Processor Socket 478M 1.20GHz 512K 400","Intel Celeron"
"Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400","osst-20120320040815","7.5000","50.0000","51.0000","Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400","Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400","Intel Celeron M CM 320 SL6N7 Mobile CPU Processor Socket 478M 1.30GHz 512K 400","Intel Celeron"
