"name","sku","price","meta_description","meta_keyword","meta_title","qty"
"WD Western Digital 3.5"" 640GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321061439","78.0000","WD Western Digital 3.5"" 640GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 640GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 640GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 640GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321061620","85.0000","WD Western Digital 3.5"" 640GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 640GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 640GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 750GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321062051","85.0000","WD Western Digital 3.5"" 750GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 750GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 750GB 7200 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 750GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","osst-20120321062339","78.0000","WD Western Digital 3.5"" 750GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 750GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 750GB 5400 RPM 8MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 1TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","osst-20120321063635","85.0000","WD Western Digital 3.5"" 1TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 1TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","osst-20120321063848","95.0000","WD Western Digital 3.5"" 1TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 1.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","osst-20120321064242","95.0000","WD Western Digital 3.5"" 1.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 1.5TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 2TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","osst-20120321064429","112.0000","WD Western Digital 3.5"" 2TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2TB 5400 RPM 32MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 2TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","osst-20120321064755","125.0000","WD Western Digital 3.5"" 2TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","59.0000"
"WD Western Digital 3.5"" 2.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","osst-20120321064927","195.0000","WD Western Digital 3.5"" 2.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","WD Western Digital 3.5"" 2.5TB 7200 RPM 16MB SATA Hard Disk Driver Desktop PC","59.0000"
