"name","price","qty","sku","condition","meta_description","meta_keyword","meta_title","weight","attribute_set"
"Wireless Bluetooth BT Foldable Folding Keyboard for Apple iPhone iPad Android","35.0000","30.0000","osst-20120626074908","New & Unused","Wireless Bluetooth BT Foldable Folding Keyboard for Apple iPhone iPad Android","Wireless Bluetooth BT Foldable Folding Keyboard for Apple iPhone iPad Android","Wireless Bluetooth BT Foldable Folding Keyboard for Apple iPhone iPad Android","299.0000","Bluetooth"
"Wireless Bluetooth BT Foldable Folding Keyboard for Android HTC Samsung Sony Motorola Nokia ","35.0000","30.0000","osst-20120626092033","New & Unused","Wireless Bluetooth BT Foldable Folding Keyboard for Android HTC Samsung Sony Motorola Nokia ","Wireless Bluetooth BT Foldable Folding Keyboard for Android HTC Samsung Sony Motorola Nokia ","Wireless Bluetooth BT Foldable Folding Keyboard for Android HTC Samsung Sony Motorola Nokia ","299.0000","Bluetooth"
