name,sku,price,qty
"IBM Hitachi 3.5"" 4GB 4.3GB 4.8GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091356,25,30
"IBM Hitachi 3.5"" 6GB 6.4GB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091357,25,30
"IBM Hitachi 3.5"" 8GB 5400 rpm 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120423091358,25,29
"IBM Hitachi 3.5"" 60GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091364,25,30
"IBM Hitachi 3.5"" 80GB PATA 5400 rpm 2MB IDE HDD Hard Disk Driver Desktop PC",osst-20120423091365,25,30
"Hitachi 3.5"" 60GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22pin",osst-20120423091404,32,30
"Samsung 3.5"" 80GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521021637,25,30
"Samsung 3.5"" 60GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521032819,25,30
"Samsung 3.5"" 80GB 5400 RPM 2MB PATA IDE HDD Hard Disk Driver Desktop 40pin",osst-20120521033100,25,30
"Samsung 3.5"" 40GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521061945,28,30
"Samsung 3.5"" 60GB 7200 RPM 2MB SATA HDD Hard Disk Driver Desktop PC 22 pin",osst-20120521062047,32,30
"WD Western Digital 3.5"" 80GB 7200 RPM 2MB SATA Hard Disk Driver Desktop PC",osst-20120321043209,32,59
"Maxtor 3.5"" 80GB 7200 RPM 2MB SATA Serial-ATA Hard Disk Driver Desktop PC",osst-20120321081147,32,59
" WD Western Digital 3.5"" 20GB 7200 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323095236,28,59
" WD Western Digital 3.5"" 30GB 7200 2MB PATA IDE HDD Hard Disk Driver Desktop PC",osst-20120323095737,28,59
