sku,price,qty,weight,name,meta_description,meta_keyword,meta_title,model_number
osst-20120320064928,35,50,51,OEM New Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,OEM Intel Celeron Mobile CM 370 SL8MM SL86J CPU Processor 478M 1.5Ghz 1MB 400Mhz,Intel Celeron M370
osst-20120320015310,7.5,50,51,OEM New Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.4G 256K 400 SL6FM 478B CPU Processor,Intel Celeron-M
osst-20120320030648,7.5,50,51,OEM New Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.5G 256K 400 SL6FN 478B CPU Processor,Intel Celeron-M
osst-20120320020641,7.5,50,51,OEM New Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.6G 256K 400 SL6J2 478B CPU Processor,Intel Celeron-M
osst-20120320031133,7.5,50,51,OEM New Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.7G 256K 400 SL6J3 478B CPU Processor,Intel Celeron-M
osst-20120320031915,7.5,50,51,OEM New Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor,OEM Intel Celeron Mobile M CM 1.8G 256K 400 SL6J4 478B CPU Processor,Intel Celeron-M
osst-20120320033300,9.5,50,51,OEM New Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor,OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor,OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor,OEM Intel Celeron Mobile M CM 2.0Ghz SL6VJ SL6QH 478B CPU Processor,Intel Celeron-M
osst-20120320033706,22,50,51,OEM New Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor,OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor,OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor,OEM Intel Celeron Mobile M CM 2.2G 256K 400 SL6ZW SL73Y SL8SB 478B CPU Processor,Intel Celeron-M
osst-20110322041607,38,50,51,OEM New Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz,Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM,Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM,Intel Core Celeron M T1500 SLAQK Mobile CPU Processor Socket P 1.86GHz 512KB 533MHz OEM,Mobile Intel Celeron Processors T1500 
osst-20110329062317,48,50,51,OEM New Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM,Intel Core Celeron M T1700 SLB6H Mobile CPU Processor Socket P 1.83Ghz 1MB 667MHz OEM,Mobile Intel Celeron Processors T1700 
osst-20110322023056,45,50,51,OEM New Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz,Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM,Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM,Intel Core Duo Celeron M T1600 SLB6J Mobile CPU Processor Socket P 478pin 1.66GHz 1MB 667MHz OEM,Mobile Intel Celeron Processors T1600 
osst-20120320083007,55,25,51,OEM New New Intel Celeron M CM 440 CM440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,OEM New Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,OEM New Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,OEM New Intel Celeron M 440 SL9KW SL9LF Mobile CPU Processor Socket M 1MB 1.86GHz 533MHz,Intel Celeron M440
osst-20120320034140,25,50,51,"OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor","OEM	 Intel Celeron Mobile M CM 2.4G 256 400 SL75J 478B CPU Processor",Intel Celeron-M
