name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
Qimonda   DDR3 4GB  PC3-8500R 1066MHZ  Server RAM Dram ECC REG ,75,59,osst-20110920083859,New & Unused,99,4GB,Qimonda / Infineon,PC3-8500 / 1066MHz
Qimonda  DDR3 1GB PC3-10600E 1333MHZ  Server DRAM Memory ECC,25,59,osst-20110920085852,New & Unused,99,1GB,Qimonda / Infineon,PC3-10600 / 1333MHz
Qimonda  DDR3 2GB PC3-10600 1333MHZ  Server RAM Dram ECC REG,38,59,osst-20110920084218,New & Unused,99,2GB,Qimonda / Infineon,PC3-10600 / 1333MHz
Qimonda  DDR3 2GB PC3-8500 1066MHZ Server RAM Dram ECC REG,38,59,osst-20110920084624,New & Unused,99,2GB,Qimonda / Infineon,PC3-8500 / 1066MHz
Qimonda  DDR3 2GB PC3-8500E 1066MHZ Server DRAM Memory ECC,38,59,osst-20110920085328,New & Unused,99,2GB,Qimonda / Infineon,PC3-8500 / 1066MHz
Qimonda  DDR3 4GB PC3-10600 1333MHZ  Server RAM Dram ECC REG,75,59,osst-20110920083507,New & Unused,99,4GB,Qimonda / Infineon,PC3-10600 / 1333MHz
Qimonda DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110511073947,New & Unused,51,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2100E 266Mhz Server DRAM Memory Module ECC,38,59,osst-20110906083108,New & Unused,99,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2100R 266Mhz Server DRAM Memory Module ECC REG,38,59,osst-20110906060247,New & Unused,99,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ,35,59,osst-20110511101014,New & Unused,51,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2700E 333Mhz Server DRAM Memory Module ECC,38,59,osst-20110906083621,New & Unused,99,1GB,Qimonda / Infineon,PC-2700 / 333MHz
Qimonda DDR1 1GB PC 2700R 333Mhz Server DRAM Memory Module ECC REG,38,59,osst-20110906060051,New & Unused,99,1GB,Qimonda / Infineon,PC-2700 / 333MHz
Qimonda DDR1 1GB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin ,35,59,osst-20110511100907,New & Unused,51,1GB,Qimonda / Infineon,PC-2700 / 333MHz
Qimonda DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110511074401,New & Unused,51,1GB,Qimonda / Infineon,PC-2700 / 333MHz
Qimonda DDR1 1GB PC 3200E 400Mhz Server DRAM Memory Module ECC,38,59,osst-20110906083800,New & Unused,99,1GB,Qimonda / Infineon,PC-3200 / 400MHz
