name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
Nanya DDR1 1GB PC 2100E 266Mhz Server DRAM Memory Module ECC ,38,59,osst-20110908032357,New & Unused,99,1GB,Nanya,PC-2100 / 266MHz
Nanya DDR1 1GB PC 2100R 266Mhz Server DRAM Memory Module ECC REG,38,59,osst-20110908025357,New & Unused,99,1GB,Nanya,PC-2100 / 266MHz
Nanya DDR1 1GB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110509072729,New & Unused,51,1GB,Nanya,PC-2100 / 266MHz
Qimonda DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20110511073947,New & Unused,51,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin ,35,59,osst-20110511101014,New & Unused,51,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2100E 266Mhz Server DRAM Memory Module ECC,38,59,osst-20110906083108,New & Unused,99,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Qimonda DDR1 1GB PC 2100R 266Mhz Server DRAM Memory Module ECC REG,38,59,osst-20110906060247,New & Unused,99,1GB,Qimonda / Infineon,PC-2100 / 266MHz
Samsung DDR1 1GB 1024MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin,35,59,osst-20101229054418,New & Unused,51,1GB,Samsung,PC-2100 / 266MHZ
Samsung DDR1 1GB 1024MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook,45,59,osst-20101229054409,New & Unused,51,1GB,Samsung,PC-2100 / 266MHZ
Samsung DDR1 1GB PC 2100E 266MHz Server DRAM Memory Module ECC,38,59,osst-20110803073835,New & Unused,99,1GB,Samsung,PC-2100 / 266MHZ
ELPIDA DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC,22,59,osst-20111103084106,New & Unused,99,1GB,ELPIDA,PC2-3200 / 400MHZ
ELPIDA DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103083858,New & Unused,99,1GB,ELPIDA,PC2-3200 / 400MHZ
Hynix DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC,22,59,osst-20111103062624,New & Unused,99,1GB,Hynix,PC2-3200 / 400MHZ
Hynix DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103072412,New & Unused,99,1GB,Hynix,PC2-3200 / 400MHZ
Infineon DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC,22,59,osst-20111103042311,New & Unused,99,1GB,Qimonda / Infineon,PC2-3200 / 400MHZ
Infineon DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103042132,New & Unused,99,1GB,Qimonda / Infineon,PC2-3200 / 400MHZ
Micron DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC ,22,59,osst-20111031031339,New & Unused,99,1GB,Micron,PC2-3200 / 400MHZ
Micron DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111103023111,New & Unused,99,1GB,Micron,PC2-3200 / 400MHZ
Micron DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111103023301,New & Unused,99,1GB,Micron,PC2-3200 / 400MHZ
Nanya DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC ,22,59,osst-20111031031135,New & Unused,99,1GB,Nanya,PC2-3200 / 400MHz
Nanya DDR2 Server 1GB PC2-3200R400MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111031023927,New & Unused,99,1GB,Nanya,PC2-3200 / 400MHz
Qimonda DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC,22,59,osst-20111028082104,New & Unused,99,1GB,Qimonda / Infineon,PC2-3200 / 400MHZ
Qimonda DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG,22,59,osst-20110913024644,New & Unused,99,1GB,Qimonda / Infineon,PC2-3200 / 400MHZ
Samsung DDR2 Server 1GB PC2-3200E 400MHZ  DRAM Memory Module ECC,22,59,osst-20110909024148,New & Unused,99,1GB,Samsung,PC2-3200 / 400MHZ
Samsung DDR2 Server 1GB PC2-3200R 400MHZ  DRAM Memory Module ECC REG,22,59,osst-20110909024721,New & Unused,99,1GB,Samsung,PC2-3200 / 400MHZ
Elixir DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110510075940,New & Unused,51,1GB,Elixir,PC2-4200 / 533MHz
Elixir DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524030820,New & Unused,51,1GB,Elixir,PC2-4200 / 533MHz
Elixir DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110511034619,New & Unused,51,1GB,Elixir,PC2-4200 / 533MHz
Elixir DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110524041637,New & Unused,51,1GB,Elixir,PC2-4200 / 533MHz
Elpida DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20101229054353,New & Unused,51,1GB,ELPIDA,PC2-4200 / 533MHz
Elpida DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110524023947,New & Unused,51,1GB,ELPIDA,PC2-4200 / 533MHz
Elpida DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524020308,New & Unused,51,1GB,ELPIDA,PC2-4200 / 533MHz
ELPIDA DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC,22,59,osst-20111103084413,New & Unused,99,1GB,ELPIDA,PC2-4200 / 533MHz
ELPIDA DDR2 Server 1GB PC2-4200F 533MHZ  DRAM Memory Module FB Dimm FBD,22,59,osst-20111103082857,New & Unused,99,1GB,ELPIDA,PC2-4200 / 533MHz
ELPIDA DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103083725,New & Unused,99,1GB,ELPIDA,PC2-4200 / 533MHz
Hynix DDR2 1GB 1024MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20101223054264,New & Unused,51,1GB,Hynix,PC2-4200 / 533MHz
Hynix DDR2 1GB 1024MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110520041912,New & Unused,51,1GB,Hynix,PC2-4200 / 533MHz
Hynix DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110520040026,New & Unused,51,1GB,Hynix,PC2-4200 / 533MHz
Hynix DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC,22,59,osst-20111103062435,New & Unused,99,1GB,Hynix,PC2-4200 / 533MHZ
Hynix DDR2 Server 1GB PC2-4200F 533MHZ  DRAM Memory Module FB Dimm FBD,22,59,osst-20111103082711,New & Unused,99,1GB,Hynix,PC2-4200 / 533MHZ
Hynix DDR2 Server 1GB PC2-4200R 533MHZ  DRAM Memory Module ECC REG,22,59,osst-20111103074809,New & Unused,99,1GB,Hynix,PC2-4200 / 533MHZ
Infineon DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110512021421,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Infineon DDR2 1GB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110521032430,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Infineon DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110511080212,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Infineon DDR2 1GB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110519075928,New & Unused,51,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
Infineon DDR2 Server 1GB PC2-4200E 533MHZ  DRAM Memory Module ECC,22,59,osst-20111103042619,New & Unused,99,1GB,Qimonda / Infineon,PC2-4200 / 533MHz
